Траєкторія спуску:

Крок 0: x = 1.000000, y = 1.000000, Φ = 5.0000000000
Крок 1: x = 1.500000, y = 1.000000, Φ = 0.8125000000
Крок 2: x = 1.500000, y = 1.000000, Φ = 0.8125000000
Крок 3: x = 1.750000, y = 1.000000, Φ = 0.0664062500
Крок 4: x = 1.750000, y = 1.000000, Φ = 0.0664062500
Крок 5: x = 1.875000, y = 0.750000, Φ = 0.0217285156
Крок 6: x = 1.875000, y = 0.750000, Φ = 0.0217285156
Крок 7: x = 1.875000, y = 0.750000, Φ = 0.0217285156
Крок 8: x = 1.812500, y = 0.843750, Φ = 0.0009851456
Крок 9: x = 1.812500, y = 0.843750, Φ = 0.0009851456
Крок 10: x = 1.812500, y = 0.843750, Φ = 0.0009851456
Крок 11: x = 1.820312, y = 0.828125, Φ = 0.0000614859
Крок 12: x = 1.820312, y = 0.828125, Φ = 0.0000614859
Крок 13: x = 1.820312, y = 0.828125, Φ = 0.0000614859
Крок 14: x = 1.822266, y = 0.824219, Φ = 0.0000038148
Крок 15: x = 1.822266, y = 0.824219, Φ = 0.0000038148
Крок 16: x = 1.823242, y = 0.822266, Φ = 0.0000010645
Крок 17: x = 1.823242, y = 0.822266, Φ = 0.0000010645
Крок 18: x = 1.823242, y = 0.822266, Φ = 0.0000010645
Крок 19: x = 1.822998, y = 0.822754, Φ = 0.0000001201
Крок 20: x = 1.822998, y = 0.822754, Φ = 0.0000001201
Крок 21: x = 1.822876, y = 0.822876, Φ = 0.0000000000
Крок 22: x = 1.822876, y = 0.822876, Φ = 0.0000000000
